epoch,lr-SGD,step,train_acc,train_loss,val_acc,val_loss
,0.01,0,,,,
0,,51,,,0.2540716528892517,3.860523223876953
0,,51,0.18470463156700134,4.06882381439209,,
,0.01,52,,,,
1,,103,,,0.3452768623828888,3.350299596786499
1,,103,0.497023344039917,2.8972623348236084,,
,0.01,104,,,,
2,,155,,,0.35586318373680115,3.0468685626983643
2,,155,0.6539459824562073,2.180605173110962,,
,0.01,156,,,,
3,,207,,,0.354234516620636,2.8523457050323486
3,,207,0.747214138507843,1.738378643989563,,
,0.01,208,,,,
4,,259,,,0.3566775321960449,2.7232587337493896
4,,259,0.7942298650741577,1.4454736709594727,,
,0.01,260,,,,
5,,311,,,0.3583061993122101,2.6416122913360596
5,,311,0.83284991979599,1.2367832660675049,,
,0.01,312,,,,
6,,363,,,0.35504886507987976,2.5695688724517822
6,,363,0.8575789928436279,1.085645318031311,,
,0.01,364,,,,
7,,415,,,0.354234516620636,2.526733875274658
7,,415,0.8704014420509338,0.982540488243103,,
,0.01,416,,,,
8,,467,,,0.34771987795829773,2.491183042526245
8,,467,0.8865821957588196,0.8734455704689026,,
,0.01,468,,,,
9,,519,,,0.34283387660980225,2.4750332832336426
9,,519,0.8957411050796509,0.8065844774246216,,
,0.01,520,,,,
10,,571,,,0.3452768623828888,2.4491310119628906
10,,571,0.9021523594856262,0.7397155165672302,,
,0.01,572,,,,
11,,623,,,0.3403908908367157,2.4436194896698
11,,623,0.9064264893531799,0.6922262907028198,,
,0.01,624,,,,
12,,675,,,0.3493485450744629,2.4138386249542236
12,,675,0.9132956862449646,0.6553856134414673,,
,0.01,676,,,,
13,,727,,,0.34771987795829773,2.4174773693084717
13,,727,0.9158906936645508,0.6235922574996948,,
,0.01,728,,,,
14,,779,,,0.34771987795829773,2.4014012813568115
14,,779,0.9139062762260437,0.5966413617134094,,
,0.01,780,,,,
15,,831,,,0.34364819526672363,2.4094178676605225
15,,831,0.9219966530799866,0.5703980326652527,,
,0.01,832,,,,
16,,883,,,0.34364819526672363,2.401888847351074
16,,883,0.9264234304428101,0.5442886352539062,,
,0.01,884,,,,
17,,935,,,0.3501628637313843,2.3971424102783203
17,,935,0.9311555624008179,0.5138073563575745,,
,0.01,936,,,,
18,,987,,,0.34771987795829773,2.397815465927124
18,,987,0.9332926273345947,0.4922462999820709,,
,0.01,988,,,,
19,,1039,,,0.34283387660980225,2.3977150917053223
19,,1039,0.9335979223251343,0.4805454909801483,,
,0.01,1040,,,,
20,,1091,,,0.3412052094936371,2.396200180053711
20,,1091,0.9377194046974182,0.4562150835990906,,
,0.01,1092,,,,
21,,1143,,,0.34201955795288086,2.4038162231445312
21,,1143,0.9357349872589111,0.4498424232006073,,
,0.01,1144,,,,
22,,1195,,,0.3403908908367157,2.4012863636016846
22,,1195,0.9360402822494507,0.439300537109375,,
,0.01,1196,,,,
23,,1247,,,0.34201955795288086,2.3995256423950195
23,,1247,0.9397038817405701,0.4250044524669647,,
,0.01,1248,,,,
24,,1299,,,0.33876222372055054,2.4013490676879883
24,,1299,0.9445886015892029,0.4051651358604431,,
,0.01,1300,,,,
25,,1351,,,0.33876222372055054,2.4038660526275635
25,,1351,0.9462677240371704,0.38921797275543213,,
,0.01,1352,,,,
26,,1403,,,0.34771987795829773,2.382884979248047
26,,1403,0.9459624290466309,0.39051297307014465,,
,0.01,1404,,,,
27,,1455,,,0.3412052094936371,2.384866714477539
27,,1455,0.9470309615135193,0.37012428045272827,,
,0.01,1456,,,,
28,,1507,,,0.34283387660980225,2.3792312145233154
28,,1507,0.9496260285377502,0.37089458107948303,,
,0.01,1508,,,,
29,,1559,,,0.3371335566043854,2.390528678894043
29,,1559,0.9468783140182495,0.3663214445114136,,
,0.01,1560,,,,
30,,1611,,,0.3412052094936371,2.3900022506713867
30,,1611,0.9535948634147644,0.34686005115509033,,
,0.01,1612,,,,
31,,1663,,,0.3403908908367157,2.4008331298828125
31,,1663,0.9482522010803223,0.3478185832500458,,
,0.01,1664,,,,
32,,1715,,,0.34201955795288086,2.3961057662963867
32,,1715,0.9546633958816528,0.3280388116836548,,
,0.01,1716,,,,
33,,1767,,,0.34364819526672363,2.395766496658325
33,,1767,0.953900158405304,0.333108127117157,,
,0.01,1768,,,,
34,,1819,,,0.3412052094936371,2.409140110015869
34,,1819,0.9522210359573364,0.3251505494117737,,
,0.01,1820,,,,
35,,1871,,,0.3403908908367157,2.4214320182800293
35,,1871,0.9534422159194946,0.31827589869499207,,
,0.01,1872,,,,
36,,1923,,,0.33876222372055054,2.4152541160583496
36,,1923,0.9535948634147644,0.3066560924053192,,
,0.01,1924,,,,
37,,1975,,,0.3395765423774719,2.410714864730835
37,,1975,0.9548160433769226,0.3093264102935791,,
,0.01,1976,,,,
38,,2027,,,0.3403908908367157,2.408543825149536
38,,2027,0.9571057558059692,0.3016701638698578,,
,0.01,2028,,,,
39,,2079,,,0.3412052094936371,2.4154677391052246
39,,2079,0.9587849378585815,0.2930868864059448,,
