epoch,lr-SGD,step,train_acc,train_loss,val_acc,val_loss
,0.01,0,,,,
0,,51,,,0.37785017490386963,3.2924954891204834
0,,51,0.18562051653862,4.052761554718018,,
,0.01,52,,,,
1,,103,,,0.6180781722068787,2.259781837463379
1,,103,0.5299954414367676,2.7067487239837646,,
,0.01,104,,,,
2,,155,,,0.759772002696991,1.5344175100326538
2,,155,0.7159212231636047,1.7861076593399048,,
,0.01,156,,,,
3,,207,,,0.8314332365989685,1.1112767457962036
3,,207,0.8235383629798889,1.2399157285690308,,
,0.01,208,,,,
4,,259,,,0.8762214779853821,0.874642550945282
4,,259,0.8710120320320129,0.9214675426483154,,
,0.01,260,,,,
5,,311,,,0.8925081491470337,0.7038552761077881
5,,311,0.9035261869430542,0.7186527848243713,,
,0.01,312,,,,
6,,363,,,0.9112377762794495,0.6163361072540283
6,,363,0.9213860630989075,0.58855140209198,,
,0.01,364,,,,
7,,415,,,0.9104234576225281,0.536662757396698
7,,415,0.929018497467041,0.5114796161651611,,
,0.01,416,,,,
8,,467,,,0.9161238074302673,0.47836774587631226
8,,467,0.9374141097068787,0.4386124312877655,,
,0.01,468,,,,
9,,519,,,0.9242671132087708,0.4318326711654663
9,,519,0.9479469060897827,0.3886711299419403,,
,0.01,520,,,,
10,,571,,,0.9242671132087708,0.4135667085647583
10,,571,0.9508472084999084,0.3469177484512329,,
,0.01,572,,,,
11,,623,,,0.9324104189872742,0.3766501545906067
11,,623,0.9494733810424805,0.3236948847770691,,
,0.01,624,,,,
12,,675,,,0.9340391159057617,0.3567841053009033
12,,675,0.9577164053916931,0.29397377371788025,,
,0.01,676,,,,
13,,727,,,0.9307817816734314,0.3496274948120117
13,,727,0.9615325927734375,0.2731061577796936,,
,0.01,728,,,,
14,,779,,,0.9364820718765259,0.33133402466773987
14,,779,0.9633643627166748,0.25262877345085144,,
,0.01,780,,,,
15,,831,,,0.9389250874519348,0.3227119743824005
15,,831,0.9624484777450562,0.24314771592617035,,
,0.01,832,,,,
16,,883,,,0.9364820718765259,0.30326056480407715
16,,883,0.9655014276504517,0.22692455351352692,,
,0.01,884,,,,
17,,935,,,0.9397394061088562,0.28776511549949646
17,,935,0.9720653295516968,0.20793843269348145,,
,0.01,936,,,,
18,,987,,,0.9413681030273438,0.2727256119251251
18,,987,0.9729812145233154,0.19632232189178467,,
,0.01,988,,,,
19,,1039,,,0.9405537247657776,0.2667210102081299
19,,1039,0.9748129844665527,0.18730877339839935,,
,0.01,1040,,,,
20,,1091,,,0.9421824216842651,0.2713347375392914
20,,1091,0.9748129844665527,0.17849572002887726,,
,0.01,1092,,,,
21,,1143,,,0.9429967403411865,0.25985386967658997
21,,1143,0.9752709269523621,0.1728629618883133,,
,0.01,1144,,,,
22,,1195,,,0.9446253776550293,0.24623751640319824
22,,1195,0.973286509513855,0.169239342212677,,
,0.01,1196,,,,
23,,1247,,,0.9462540745735168,0.24678274989128113
23,,1247,0.9761868119239807,0.15837159752845764,,
,0.01,1248,,,,
24,,1299,,,0.9454397559165955,0.2370772510766983
24,,1299,0.9821401238441467,0.1463112235069275,,
,0.01,1300,,,,
25,,1351,,,0.9421824216842651,0.23808979988098145
25,,1351,0.981987476348877,0.1380416601896286,,
,0.01,1352,,,,
26,,1403,,,0.9429967403411865,0.23274078965187073
26,,1403,0.9790871739387512,0.1376645416021347,,
,0.01,1404,,,,
27,,1455,,,0.9486970901489258,0.2200959473848343
27,,1455,0.9829033613204956,0.13468779623508453,,
,0.01,1456,,,,
28,,1507,,,0.9454397559165955,0.22489973902702332
28,,1507,0.9836665987968445,0.1267089992761612,,
,0.01,1508,,,,
29,,1559,,,0.9519544243812561,0.21096642315387726
29,,1559,0.9818348288536072,0.12624427676200867,,
,0.01,1560,,,,
30,,1611,,,0.9543973803520203,0.21455562114715576
30,,1611,0.9844298362731934,0.11783377081155777,,
,0.01,1612,,,,
31,,1663,,,0.9511400461196899,0.2116822749376297
31,,1663,0.9847351312637329,0.1167643815279007,,
,0.01,1664,,,,
32,,1715,,,0.9503257274627686,0.20817513763904572
32,,1715,0.9871775507926941,0.10645066946744919,,
,0.01,1716,,,,
33,,1767,,,0.9486970901489258,0.20538301765918732
33,,1767,0.9864143133163452,0.11099828034639359,,
,0.01,1768,,,,
34,,1819,,,0.9568403959274292,0.20436140894889832
34,,1819,0.9822927713394165,0.11243482679128647,,
,0.01,1820,,,,
35,,1871,,,0.9511400461196899,0.19470545649528503
35,,1871,0.986566960811615,0.1037086620926857,,
,0.01,1872,,,,
36,,1923,,,0.9511400461196899,0.1987200379371643
36,,1923,0.9882460832595825,0.09667757153511047,,
,0.01,1924,,,,
37,,1975,,,0.9560260772705078,0.19462373852729797
37,,1975,0.989314615726471,0.0963742658495903,,
,0.01,1976,,,,
38,,2027,,,0.9568403959274292,0.19203944504261017
38,,2027,0.9868722558021545,0.09444905072450638,,
,0.01,2028,,,,
39,,2079,,,0.9527687430381775,0.19885796308517456
39,,2079,0.9900778532028198,0.09135689586400986,,
