epoch,lr-SGD/pg1,lr-SGD/pg2,step,train_acc,train_loss,val_acc,val_loss
,0.001,0.1,0,,,,
0,,,51,,,0.8688924908638,0.762187123298645
0,,,51,0.5675469636917114,2.2057859897613525,,
,0.001,0.1,52,,,,
1,,,103,,,0.9047231078147888,0.4833132326602936
1,,,103,0.905663251876831,0.536661684513092,,
,0.001,0.1,104,,,,
2,,,155,,,0.9250814318656921,0.3954594135284424
2,,,155,0.9392459392547607,0.34327784180641174,,
,0.001,0.1,156,,,,
3,,,207,,,0.9332247376441956,0.34646862745285034
3,,,207,0.9569531083106995,0.25787168741226196,,
,0.001,0.1,208,,,,
4,,,259,,,0.9226384162902832,0.33720946311950684
4,,,259,0.9690123796463013,0.21423891186714172,,
,0.001,0.1,260,,,,
5,,,311,,,0.9324104189872742,0.29584285616874695
5,,,311,0.9738970994949341,0.174899622797966,,
,0.001,0.1,312,,,,
6,,,363,,,0.9356677532196045,0.2928372919559479
6,,,363,0.9777133464813232,0.15343889594078064,,
,0.001,0.1,364,,,,
7,,,415,,,0.9413681030273438,0.2738298177719116
7,,,415,0.9795451164245605,0.1345665007829666,,
,0.001,0.1,416,,,,
8,,,467,,,0.9389250874519348,0.2709484398365021
8,,,467,0.9845824837684631,0.12060602009296417,,
,0.001,0.1,468,,,,
9,,,519,,,0.9372963905334473,0.26881781220436096
9,,,519,0.9847351312637329,0.1087767705321312,,
,0.001,0.1,520,,,,
10,,,571,,,0.9470683932304382,0.250997394323349
10,,,571,0.9854983687400818,0.10204296559095383,,
,0.001,0.1,572,,,,
11,,,623,,,0.9413681030273438,0.25070589780807495
11,,,623,0.9874828457832336,0.09659726917743683,,
,0.001,0.1,624,,,,
12,,,675,,,0.9470683932304382,0.24477995932102203
12,,,675,0.9896199107170105,0.08990349620580673,,
,0.001,0.1,676,,,,
13,,,727,,,0.9535830616950989,0.23330086469650269
13,,,727,0.9917569756507874,0.07700472325086594,,
,0.001,0.1,728,,,,
14,,,779,,,0.9454397559165955,0.23887674510478973
14,,,779,0.98992520570755,0.07808058708906174,,
,0.001,0.1,780,,,,
15,,,831,,,0.9486970901489258,0.23481978476047516
15,,,831,0.9902305006980896,0.07321576029062271,,
,0.001,0.1,832,,,,
16,,,883,,,0.9519544243812561,0.22765479981899261
16,,,883,0.9920622706413269,0.07064254581928253,,
,0.001,0.1,884,,,,
17,,,935,,,0.9462540745735168,0.22857442498207092
17,,,935,0.9911463856697083,0.06798452883958817,,
,0.001,0.1,936,,,,
18,,,987,,,0.9486970901489258,0.22572515904903412
18,,,987,0.9932834506034851,0.06559604406356812,,
,0.001,0.1,988,,,,
19,,,1039,,,0.9543973803520203,0.22036240994930267
19,,,1039,0.9937413930892944,0.05841394141316414,,
,0.001,0.1,1040,,,,
20,,,1091,,,0.9438110589981079,0.22751465439796448
20,,,1091,0.9932834506034851,0.06117740646004677,,
,0.001,0.1,1092,,,,
