epoch,lr-SGD,step,train_acc,train_loss,val_acc,val_loss
,0.01,0,,,,
0,,51,,,0.37785017490386963,3.2924954891204834
0,,51,0.18562051653862,4.052761554718018,,
,0.01,52,,,,
1,,103,,,0.6180781722068787,2.259781837463379
1,,103,0.5299954414367676,2.7067487239837646,,
,0.01,104,,,,
2,,155,,,0.759772002696991,1.5344175100326538
2,,155,0.7159212231636047,1.7861076593399048,,
,0.01,156,,,,
3,,207,,,0.8314332365989685,1.1112767457962036
3,,207,0.8235383629798889,1.2399157285690308,,
,0.01,208,,,,
4,,259,,,0.8762214779853821,0.874642550945282
4,,259,0.8710120320320129,0.9214675426483154,,
,0.01,260,,,,
5,,311,,,0.8925081491470337,0.7038552761077881
5,,311,0.9035261869430542,0.7186527848243713,,
,0.01,312,,,,
6,,363,,,0.9112377762794495,0.6163361072540283
6,,363,0.9213860630989075,0.58855140209198,,
,0.01,364,,,,
7,,415,,,0.9104234576225281,0.536662757396698
7,,415,0.929018497467041,0.5114796161651611,,
,0.01,416,,,,
8,,467,,,0.9161238074302673,0.47836774587631226
8,,467,0.9374141097068787,0.4386124312877655,,
,0.01,468,,,,
9,,519,,,0.9242671132087708,0.4318326711654663
9,,519,0.9479469060897827,0.3886711299419403,,
,0.01,520,,,,
10,,571,,,0.9242671132087708,0.4135667085647583
10,,571,0.9508472084999084,0.3469177484512329,,
,0.01,572,,,,
11,,623,,,0.9324104189872742,0.3766501545906067
11,,623,0.9494733810424805,0.3236948847770691,,
,0.01,624,,,,
12,,675,,,0.9340391159057617,0.3567841053009033
12,,675,0.9577164053916931,0.29397377371788025,,
,0.01,676,,,,
13,,727,,,0.9307817816734314,0.3496274948120117
13,,727,0.9615325927734375,0.2731061577796936,,
,0.01,728,,,,
14,,779,,,0.9364820718765259,0.33133402466773987
14,,779,0.9633643627166748,0.25262877345085144,,
,0.01,780,,,,
15,,831,,,0.9389250874519348,0.3227119743824005
15,,831,0.9624484777450562,0.24314771592617035,,
,0.01,832,,,,
16,,883,,,0.9364820718765259,0.30326056480407715
16,,883,0.9655014276504517,0.22692455351352692,,
,0.01,884,,,,
17,,935,,,0.9397394061088562,0.28776511549949646
17,,935,0.9720653295516968,0.20793843269348145,,
,0.01,936,,,,
18,,987,,,0.9413681030273438,0.2727256119251251
18,,987,0.9729812145233154,0.19632232189178467,,
,0.01,988,,,,
19,,1039,,,0.9405537247657776,0.2667210102081299
19,,1039,0.9748129844665527,0.18730877339839935,,
,0.01,1040,,,,
20,,1091,,,0.9421824216842651,0.2713347375392914
20,,1091,0.9748129844665527,0.17849572002887726,,
,0.01,1092,,,,
21,,1143,,,0.9429967403411865,0.25985386967658997
21,,1143,0.9752709269523621,0.1728629618883133,,
,0.01,1144,,,,
22,,1195,,,0.9446253776550293,0.24623751640319824
22,,1195,0.973286509513855,0.169239342212677,,
,0.01,1196,,,,
23,,1247,,,0.9462540745735168,0.24678274989128113
23,,1247,0.9761868119239807,0.15837159752845764,,
,0.01,1248,,,,
24,,1299,,,0.9454397559165955,0.2370772510766983
24,,1299,0.9821401238441467,0.1463112235069275,,
,0.01,1300,,,,
25,,1351,,,0.9421824216842651,0.23808979988098145
25,,1351,0.981987476348877,0.1380416601896286,,
,0.01,1352,,,,
26,,1403,,,0.9429967403411865,0.23274078965187073
26,,1403,0.9790871739387512,0.1376645416021347,,
,0.01,1404,,,,
27,,1455,,,0.9486970901489258,0.2200959473848343
27,,1455,0.9829033613204956,0.13468779623508453,,
,0.01,1456,,,,
28,,1507,,,0.9454397559165955,0.22489973902702332
28,,1507,0.9836665987968445,0.1267089992761612,,
,0.01,1508,,,,
29,,1559,,,0.9519544243812561,0.21096642315387726
29,,1559,0.9818348288536072,0.12624427676200867,,
,0.01,1560,,,,
30,,1611,,,0.9543973803520203,0.21455562114715576
30,,1611,0.9844298362731934,0.11783377081155777,,
,0.01,1612,,,,
31,,1663,,,0.9511400461196899,0.2116822749376297
31,,1663,0.9847351312637329,0.1167643815279007,,
,0.01,1664,,,,
32,,1715,,,0.9503257274627686,0.20817513763904572
32,,1715,0.9871775507926941,0.10645066946744919,,
,0.01,1716,,,,
33,,1767,,,0.9486970901489258,0.20538301765918732
33,,1767,0.9864143133163452,0.11099828034639359,,
,0.01,1768,,,,
34,,1819,,,0.9568403959274292,0.20436140894889832
34,,1819,0.9822927713394165,0.11243482679128647,,
,0.01,1820,,,,
35,,1871,,,0.9511400461196899,0.19470545649528503
35,,1871,0.986566960811615,0.1037086620926857,,
,0.01,1872,,,,
36,,1923,,,0.9511400461196899,0.1987200379371643
36,,1923,0.9882460832595825,0.09667757153511047,,
,0.01,1924,,,,
37,,1975,,,0.9560260772705078,0.19462373852729797
37,,1975,0.989314615726471,0.0963742658495903,,
,0.01,1976,,,,
38,,2027,,,0.9568403959274292,0.19203944504261017
38,,2027,0.9868722558021545,0.09444905072450638,,
,0.01,2028,,,,
39,,2079,,,0.9527687430381775,0.19885796308517456
39,,2079,0.9900778532028198,0.09135689586400986,,
,0.01,2080,,,,
40,,2131,,,0.9552116990089417,0.18697337806224823
40,,2131,0.9883987307548523,0.08687206357717514,,
,0.01,2132,,,,
41,,2183,,,0.9519544243812561,0.18985609710216522
41,,2183,0.9906884431838989,0.08696576952934265,,
,0.01,2184,,,,
42,,2235,,,0.9552116990089417,0.18829841911792755
42,,2235,0.9906884431838989,0.08635392040014267,,
,0.01,2236,,,,
43,,2287,,,0.9560260772705078,0.18774400651454926
43,,2287,0.9894672632217407,0.0825469046831131,,
,0.01,2288,,,,
44,,2339,,,0.9592834115028381,0.1807864010334015
44,,2339,0.9932834506034851,0.07904750853776932,,
,0.01,2340,,,,
45,,2391,,,0.9600977301597595,0.18112656474113464
45,,2391,0.9931308031082153,0.07534285634756088,,
,0.01,2392,,,,
46,,2443,,,0.9576547145843506,0.17866654694080353
46,,2443,0.98992520570755,0.07684102654457092,,
,0.01,2444,,,,
47,,2495,,,0.9609120488166809,0.17794625461101532
47,,2495,0.9923675656318665,0.07622190564870834,,
,0.01,2496,,,,
48,,2547,,,0.9609120488166809,0.1771920919418335
48,,2547,0.9923675656318665,0.07338470220565796,,
,0.01,2548,,,,
49,,2599,,,0.9625407457351685,0.169849693775177
49,,2599,0.991299033164978,0.07347467541694641,,
,0.01,2600,,,,
50,,2651,,,0.9592834115028381,0.17149865627288818
50,,2651,0.9922149181365967,0.07176332920789719,,
,0.01,2652,,,,
51,,2703,,,0.9600977301597595,0.17400355637073517
51,,2703,0.9920622706413269,0.06852947920560837,,
,0.01,2704,,,,
52,,2755,,,0.9617263674736023,0.17402851581573486
52,,2755,0.9922149181365967,0.06956315785646439,,
,0.01,2756,,,,
53,,2807,,,0.958469033241272,0.16961263120174408
53,,2807,0.9923675656318665,0.06711526215076447,,
,0.01,2808,,,,
54,,2859,,,0.958469033241272,0.17089064419269562
54,,2859,0.9932834506034851,0.06482208520174026,,
,0.01,2860,,,,
55,,2911,,,0.9617263674736023,0.16715167462825775
55,,2911,0.9945046305656433,0.06353979557752609,,
,0.01,2912,,,,
56,,2963,,,0.9625407457351685,0.1616884022951126
56,,2963,0.9925202131271362,0.06503225862979889,,
,0.01,2964,,,,
57,,3015,,,0.9592834115028381,0.16518019139766693
57,,3015,0.9945046305656433,0.06145453825592995,,
,0.01,3016,,,,
58,,3067,,,0.9633550643920898,0.16393104195594788
58,,3067,0.9937413930892944,0.061005301773548126,,
,0.01,3068,,,,
59,,3119,,,0.9592834115028381,0.16693615913391113
59,,3119,0.9934360980987549,0.062249939888715744,,
,0.01,3120,,,,
60,,3171,,,0.958469033241272,0.16362755000591278
60,,3171,0.9934360980987549,0.0613890066742897,,
,0.01,3172,,,,
61,,3223,,,0.9617263674736023,0.16153156757354736
61,,3223,0.9945046305656433,0.05776195973157883,,
,0.01,3224,,,,
62,,3275,,,0.9633550643920898,0.15907417237758636
62,,3275,0.9948099255561829,0.05493411794304848,,
,0.01,3276,,,,
63,,3327,,,0.9633550643920898,0.15746234357357025
63,,3327,0.9938940405845642,0.05557224527001381,,
,0.01,3328,,,,
64,,3379,,,0.9617263674736023,0.15611164271831512
64,,3379,0.9958785176277161,0.05455118790268898,,
,0.01,3380,,,,
65,,3431,,,0.958469033241272,0.15769173204898834
65,,3431,0.995267927646637,0.053339336067438126,,
,0.01,3432,,,,
66,,3483,,,0.9641693830490112,0.15156371891498566
66,,3483,0.9943519830703735,0.053219959139823914,,
,0.01,3484,,,,
67,,3535,,,0.9609120488166809,0.15593105554580688
67,,3535,0.9955732226371765,0.053635790944099426,,
,0.01,3536,,,,
68,,3587,,,0.9625407457351685,0.15297242999076843
68,,3587,0.9946572780609131,0.05204733461141586,,
,0.01,3588,,,,
69,,3639,,,0.9649837017059326,0.14854696393013
69,,3639,0.9941993355751038,0.052024029195308685,,
,0.01,3640,,,,
70,,3691,,,0.965798020362854,0.1515190601348877
70,,3691,0.9945046305656433,0.05231308192014694,,
,0.01,3692,,,,
71,,3743,,,0.9641693830490112,0.15177194774150848
71,,3743,0.994046688079834,0.05114653334021568,,
,0.01,3744,,,,
72,,3795,,,0.9633550643920898,0.15361802279949188
72,,3795,0.9954205751419067,0.04863877594470978,,
,0.01,3796,,,,
73,,3847,,,0.9633550643920898,0.1510477215051651
73,,3847,0.9957258701324463,0.04907821863889694,,
,0.01,3848,,,,
74,,3899,,,0.965798020362854,0.1486785113811493
74,,3899,0.9955732226371765,0.049824684858322144,,
,0.01,3900,,,,
75,,3951,,,0.9649837017059326,0.14779961109161377
75,,3951,0.9949625730514526,0.04787155240774155,,
,0.01,3952,,,,
76,,4003,,,0.9666123986244202,0.1442800760269165
76,,4003,0.9961838126182556,0.046821463853120804,,
,0.01,4004,,,,
77,,4055,,,0.9666123986244202,0.1475926637649536
77,,4055,0.9949625730514526,0.04766349494457245,,
,0.01,4056,,,,
78,,4107,,,0.9625407457351685,0.1488981395959854
78,,4107,0.9960311651229858,0.04201706498861313,,
,0.01,4108,,,,
79,,4159,,,0.9633550643920898,0.14671306312084198
79,,4159,0.9969470500946045,0.044188763946294785,,
