epoch,lr-SGD/pg1,lr-SGD/pg2,step,train_acc,train_loss,val_acc,val_loss
,0.001,0.1,0,,,,
0,,,51,,,0.8363192081451416,0.914151668548584
0,,,51,0.5528926849365234,2.2633960247039795,,
,0.001,0.1,52,,,,
1,,,103,,,0.8827361464500427,0.594779908657074
1,,,103,0.8887192606925964,0.6013606190681458,,
,0.001,0.1,104,,,,
2,,,155,,,0.9014657735824585,0.47289690375328064
2,,,155,0.9206228256225586,0.40393754839897156,,
,0.001,0.1,156,,,,
3,,,207,,,0.9144951105117798,0.42429089546203613
3,,,207,0.9453518390655518,0.29893073439598083,,
,0.001,0.1,208,,,,
4,,,259,,,0.9112377762794495,0.41351237893104553
4,,,259,0.9493207335472107,0.263875275850296,,
,0.001,0.1,260,,,,
5,,,311,,,0.9153094291687012,0.3700527250766754
5,,,311,0.9601587653160095,0.2235148400068283,,
,0.001,0.1,312,,,,
6,,,363,,,0.9250814318656921,0.3489767909049988
6,,,363,0.963211715221405,0.19225309789180756,,
,0.001,0.1,364,,,,
7,,,415,,,0.9250814318656921,0.32651588320732117
7,,,415,0.9713020920753479,0.1682463437318802,,
,0.001,0.1,416,,,,
8,,,467,,,0.9242671132087708,0.33574748039245605
8,,,467,0.9757288694381714,0.1527586281299591,,
,0.001,0.1,468,,,,
9,,,519,,,0.9275244474411011,0.3209157884120941
9,,,519,0.9763395190238953,0.14455540478229523,,
,0.001,0.1,520,,,,
10,,,571,,,0.9315961003303528,0.2975984215736389
10,,,571,0.9772554039955139,0.1339496374130249,,
,0.001,0.1,572,,,,
11,,,623,,,0.9218240976333618,0.3088422417640686
11,,,623,0.9755762219429016,0.12619072198867798,,
,0.001,0.1,624,,,,
12,,,675,,,0.9258957505226135,0.3008345067501068
12,,,675,0.9809189438819885,0.11695222556591034,,
,0.001,0.1,676,,,,
13,,,727,,,0.9283387660980225,0.2837701439857483
13,,,727,0.9851930737495422,0.10431227087974548,,
,0.001,0.1,728,,,,
14,,,779,,,0.9307817816734314,0.2863183319568634
14,,,779,0.9848877787590027,0.10124403238296509,,
,0.001,0.1,780,,,,
15,,,831,,,0.9283387660980225,0.2839900851249695
15,,,831,0.9838192462921143,0.1024646982550621,,
,0.001,0.1,832,,,,
16,,,883,,,0.9307817816734314,0.2698790729045868
16,,,883,0.9842771887779236,0.09216980636119843,,
,0.001,0.1,884,,,,
17,,,935,,,0.9381107687950134,0.2732352018356323
17,,,935,0.9841245412826538,0.08957646787166595,,
,0.001,0.1,936,,,,
18,,,987,,,0.9324104189872742,0.2710442841053009
18,,,987,0.9862616658210754,0.0851190909743309,,
,0.001,0.1,988,,,,
19,,,1039,,,0.9356677532196045,0.2622266709804535
19,,,1039,0.9900778532028198,0.07584158331155777,,
,0.001,0.1,1040,,,,
20,,,1091,,,0.9348534345626831,0.26204821467399597
20,,,1091,0.9882460832595825,0.07780610769987106,,
,0.001,0.1,1092,,,,
21,,,1143,,,0.9405537247657776,0.2520867884159088
21,,,1143,0.9880934357643127,0.07818415015935898,,
,0.001,0.1,1144,,,,
22,,,1195,,,0.9421824216842651,0.2487010657787323
22,,,1195,0.9877881407737732,0.07726671546697617,,
,0.001,0.1,1196,,,,
23,,,1247,,,0.9446253776550293,0.24529977142810822
23,,,1247,0.9871775507926941,0.07539322972297668,,
,0.001,0.1,1248,,,,
24,,,1299,,,0.9405537247657776,0.2499595433473587
24,,,1299,0.9883987307548523,0.07121208310127258,,
,0.001,0.1,1300,,,,
25,,,1351,,,0.9405537247657776,0.24695613980293274
25,,,1351,0.989314615726471,0.07134196162223816,,
,0.001,0.1,1352,,,,
26,,,1403,,,0.9381107687950134,0.2499621957540512
26,,,1403,0.9897725582122803,0.06579110026359558,,
,0.001,0.1,1404,,,,
27,,,1455,,,0.9421824216842651,0.2529708445072174
27,,,1455,0.9908410906791687,0.06618547439575195,,
,0.001,0.1,1456,,,,
28,,,1507,,,0.9356677532196045,0.25030288100242615
28,,,1507,0.9896199107170105,0.06629229336977005,,
,0.001,0.1,1508,,,,
29,,,1559,,,0.9438110589981079,0.2353944629430771
29,,,1559,0.9914516806602478,0.06121309846639633,,
,0.001,0.1,1560,,,,
30,,,1611,,,0.9372963905334473,0.24715478718280792
30,,,1611,0.9906884431838989,0.06207652390003204,,
,0.001,0.1,1612,,,,
31,,,1663,,,0.9454397559165955,0.2343674898147583
31,,,1663,0.9903831481933594,0.060301899909973145,,
,0.001,0.1,1664,,,,
32,,,1715,,,0.9462540745735168,0.23001009225845337
32,,,1715,0.9914516806602478,0.057095207273960114,,
,0.001,0.1,1716,,,,
33,,,1767,,,0.9446253776550293,0.22995929419994354
33,,,1767,0.9911463856697083,0.0601532906293869,,
,0.001,0.1,1768,,,,
34,,,1819,,,0.9454397559165955,0.22615717351436615
34,,,1819,0.9923675656318665,0.05376826599240303,,
,0.001,0.1,1820,,,,
35,,,1871,,,0.9429967403411865,0.228742316365242
35,,,1871,0.9916043281555176,0.05487877503037453,,
,0.001,0.1,1872,,,,
36,,,1923,,,0.9421824216842651,0.22834056615829468
36,,,1923,0.9935887455940247,0.05029788985848427,,
,0.001,0.1,1924,,,,
37,,,1975,,,0.9470683932304382,0.22512589395046234
37,,,1975,0.9920622706413269,0.05403080955147743,,
,0.001,0.1,1976,,,,
38,,,2027,,,0.9438110589981079,0.23696549236774445
38,,,2027,0.9935887455940247,0.05035296827554703,,
,0.001,0.1,2028,,,,
39,,,2079,,,0.9446253776550293,0.22684578597545624
39,,,2079,0.9935887455940247,0.050762370228767395,,
,0.001,0.1,2080,,,,
40,,,2131,,,0.9429967403411865,0.22771456837654114
40,,,2131,0.9925202131271362,0.051313381642103195,,
,0.001,0.1,2132,,,,
41,,,2183,,,0.9511400461196899,0.2111733853816986
41,,,2183,0.9923675656318665,0.05039548873901367,,
,0.001,0.1,2184,,,,
42,,,2235,,,0.9503257274627686,0.211687371134758
42,,,2235,0.9932834506034851,0.04410470649600029,,
,0.001,0.1,2236,,,,
43,,,2287,,,0.9527687430381775,0.20606407523155212
43,,,2287,0.9925202131271362,0.04490755498409271,,
,0.001,0.1,2288,,,,
44,,,2339,,,0.9535830616950989,0.1976158618927002
44,,,2339,0.9937413930892944,0.04140045866370201,,
