epoch,lr-SGD/pg1,lr-SGD/pg2,step,train_acc,train_loss,val_acc,val_loss
,0.001,0.1,0,,,,
0,,,51,,,0.8656351566314697,0.7625064849853516
0,,,51,0.5670890212059021,2.2059504985809326,,
,0.001,0.1,52,,,,
1,,,103,,,0.9079804420471191,0.4823668599128723
1,,,103,0.905663251876831,0.5368431210517883,,
,0.001,0.1,104,,,,
2,,,155,,,0.9267100691795349,0.3958542048931122
2,,,155,0.9389406442642212,0.3434402644634247,,
,0.001,0.1,156,,,,
3,,,207,,,0.9340391159057617,0.3463762402534485
3,,,207,0.9568004608154297,0.2579810917377472,,
,0.001,0.1,208,,,,
4,,,259,,,0.9242671132087708,0.33764514327049255
4,,,259,0.9690123796463013,0.2142447680234909,,
,0.001,0.1,260,,,,
5,,,311,,,0.9340391159057617,0.2964087724685669
5,,,311,0.9738970994949341,0.17486204206943512,,
,0.001,0.1,312,,,,
6,,,363,,,0.9356677532196045,0.2930319905281067
6,,,363,0.9777133464813232,0.15321053564548492,,
,0.001,0.1,364,,,,
7,,,415,,,0.9413681030273438,0.27354153990745544
7,,,415,0.9800030589103699,0.13436859846115112,,
,0.001,0.1,416,,,,
8,,,467,,,0.9389250874519348,0.2716539204120636
8,,,467,0.9841245412826538,0.12073985487222672,,
,0.001,0.1,468,,,,
9,,,519,,,0.9372963905334473,0.2688734531402588
9,,,519,0.9850404262542725,0.10896594077348709,,
,0.001,0.1,520,,,,
10,,,571,,,0.9470683932304382,0.25112807750701904
10,,,571,0.9848877787590027,0.10225638747215271,,
,0.001,0.1,572,,,,
11,,,623,,,0.9421824216842651,0.2508833110332489
11,,,623,0.987940788269043,0.09644957631826401,,
,0.001,0.1,624,,,,
12,,,675,,,0.9470683932304382,0.24489088356494904
12,,,675,0.9896199107170105,0.09001749008893967,,
,0.001,0.1,676,,,,
13,,,727,,,0.9543973803520203,0.23346900939941406
13,,,727,0.9914516806602478,0.07697011530399323,,
,0.001,0.1,728,,,,
14,,,779,,,0.9470683932304382,0.23973555862903595
14,,,779,0.9902305006980896,0.07821635156869888,,
,0.001,0.1,780,,,,
15,,,831,,,0.9486970901489258,0.23464664816856384
15,,,831,0.9902305006980896,0.07317766547203064,,
,0.001,0.1,832,,,,
16,,,883,,,0.9519544243812561,0.2278483361005783
16,,,883,0.9920622706413269,0.07067730277776718,,
,0.001,0.1,884,,,,
17,,,935,,,0.9462540745735168,0.22886575758457184
17,,,935,0.9911463856697083,0.06817744672298431,,
,0.001,0.1,936,,,,
18,,,987,,,0.9495114088058472,0.22693966329097748
18,,,987,0.9931308031082153,0.06573789566755295,,
,0.001,0.1,988,,,,
19,,,1039,,,0.9552116990089417,0.21975897252559662
19,,,1039,0.9935887455940247,0.058399297297000885,,
,0.001,0.1,1040,,,,
20,,,1091,,,0.9446253776550293,0.22768963873386383
20,,,1091,0.9932834506034851,0.06104041635990143,,
,0.001,0.1,1092,,,,
21,,,1143,,,0.9503257274627686,0.21532820165157318
21,,,1143,0.9923675656318665,0.06028187274932861,,
,0.001,0.1,1144,,,,
22,,,1195,,,0.9552116990089417,0.210508793592453
22,,,1195,0.9938940405845642,0.056633226573467255,,
,0.001,0.1,1196,,,,
23,,,1247,,,0.9438110589981079,0.2116066813468933
23,,,1247,0.9928255081176758,0.058384817093610764,,
,0.001,0.1,1248,,,,
24,,,1299,,,0.9519544243812561,0.20979614555835724
24,,,1299,0.9931308031082153,0.05648540332913399,,
,0.001,0.1,1300,,,,
25,,,1351,,,0.9527687430381775,0.20410656929016113
25,,,1351,0.9931308031082153,0.05128616839647293,,
,0.001,0.1,1352,,,,
26,,,1403,,,0.9486970901489258,0.21146097779273987
26,,,1403,0.9945046305656433,0.05087972804903984,,
,0.001,0.1,1404,,,,
27,,,1455,,,0.9511400461196899,0.21089689433574677
27,,,1455,0.9958785176277161,0.04850491136312485,,
,0.001,0.1,1456,,,,
28,,,1507,,,0.9519544243812561,0.2049078494310379
28,,,1507,0.9948099255561829,0.049526017159223557,,
,0.001,0.1,1508,,,,
29,,,1559,,,0.9511400461196899,0.2039812058210373
29,,,1559,0.9955732226371765,0.04525081440806389,,
,0.001,0.1,1560,,,,
30,,,1611,,,0.9543973803520203,0.20582082867622375
30,,,1611,0.9943519830703735,0.04714645445346832,,
,0.001,0.1,1612,,,,
31,,,1663,,,0.9511400461196899,0.203950434923172
31,,,1663,0.9957258701324463,0.04455973953008652,,
,0.001,0.1,1664,,,,
32,,,1715,,,0.9560260772705078,0.20176206529140472
32,,,1715,0.9963364601135254,0.04271231219172478,,
,0.001,0.1,1716,,,,
33,,,1767,,,0.9543973803520203,0.19708365201950073
33,,,1767,0.9960311651229858,0.04209272935986519,,
,0.001,0.1,1768,,,,
34,,,1819,,,0.9552116990089417,0.20239563286304474
34,,,1819,0.9957258701324463,0.041487134993076324,,
,0.001,0.1,1820,,,,
35,,,1871,,,0.9543973803520203,0.2026573121547699
35,,,1871,0.9958785176277161,0.04373021423816681,,
,0.001,0.1,1872,,,,
36,,,1923,,,0.958469033241272,0.19724024832248688
36,,,1923,0.9958785176277161,0.04111653193831444,,
,0.001,0.1,1924,,,,
37,,,1975,,,0.9527687430381775,0.19602364301681519
37,,,1975,0.9969470500946045,0.03713885322213173,,
,0.001,0.1,1976,,,,
38,,,2027,,,0.9552116990089417,0.20066550374031067
38,,,2027,0.9955732226371765,0.03915600851178169,,
,0.001,0.1,2028,,,,
39,,,2079,,,0.9576547145843506,0.19454820454120636
39,,,2079,0.9949625730514526,0.04164084047079086,,
,0.001,0.1,2080,,,,
40,,,2131,,,0.9519544243812561,0.19367893040180206
40,,,2131,0.9974049925804138,0.03759070485830307,,
,0.001,0.1,2132,,,,
41,,,2183,,,0.9552116990089417,0.186958909034729
41,,,2183,0.9946572780609131,0.03834759443998337,,
,0.001,0.1,2184,,,,
42,,,2235,,,0.9568403959274292,0.18285933136940002
42,,,2235,0.9963364601135254,0.03449658304452896,,
,0.001,0.1,2236,,,,
43,,,2287,,,0.9511400461196899,0.18514612317085266
43,,,2287,0.9964891076087952,0.03307142108678818,,
,0.001,0.1,2288,,,,
44,,,2339,,,0.9552116990089417,0.18168982863426208
44,,,2339,0.9967944025993347,0.032355815172195435,,
,0.001,0.1,2340,,,,
45,,,2391,,,0.9552116990089417,0.17879918217658997
45,,,2391,0.9967944025993347,0.03053005039691925,,
,0.001,0.1,2392,,,,
46,,,2443,,,0.9609120488166809,0.1729768067598343
46,,,2443,0.9975576400756836,0.025824930518865585,,
,0.001,0.1,2444,,,,
47,,,2495,,,0.958469033241272,0.17630095779895782
47,,,2495,0.9975576400756836,0.026986584067344666,,
,0.001,0.1,2496,,,,
48,,,2547,,,0.9592834115028381,0.17754024267196655
48,,,2547,0.997252345085144,0.026057930663228035,,
,0.001,0.1,2548,,,,
49,,,2599,,,0.9633550643920898,0.16963675618171692
49,,,2599,0.997252345085144,0.025598375126719475,,
,0.001,0.1,2600,,,,
50,,,2651,,,0.9609120488166809,0.16825099289417267
50,,,2651,0.9969470500946045,0.02703215181827545,,
,0.001,0.1,2652,,,,
51,,,2703,,,0.9633550643920898,0.16374516487121582
51,,,2703,0.997252345085144,0.02343284897506237,,
,0.001,0.1,2704,,,,
52,,,2755,,,0.9633550643920898,0.16329987347126007
52,,,2755,0.9984735250473022,0.021478943526744843,,
,0.001,0.1,2756,,,,
53,,,2807,,,0.9625407457351685,0.16510441899299622
53,,,2807,0.9967944025993347,0.024425869807600975,,
,0.001,0.1,2808,,,,
54,,,2859,,,0.9609120488166809,0.16879451274871826
54,,,2859,0.9980155825614929,0.023871786892414093,,
,0.001,0.1,2860,,,,
55,,,2911,,,0.9649837017059326,0.15731538832187653
55,,,2911,0.998626172542572,0.02047768235206604,,
,0.001,0.1,2912,,,,
56,,,2963,,,0.9641693830490112,0.1551057994365692
56,,,2963,0.9977102875709534,0.02164100669324398,,
,0.001,0.1,2964,,,,
57,,,3015,,,0.9641693830490112,0.1547515094280243
57,,,3015,0.9980155825614929,0.020589591935276985,,
,0.001,0.1,3016,,,,
58,,,3067,,,0.965798020362854,0.15255187451839447
58,,,3067,0.9987788200378418,0.019217289984226227,,
,0.001,0.1,3068,,,,
59,,,3119,,,0.9633550643920898,0.15442673861980438
59,,,3119,0.9967944025993347,0.02232414111495018,,
,0.001,0.1,3120,,,,
60,,,3171,,,0.9649837017059326,0.15304860472679138
60,,,3171,0.9984735250473022,0.018975503742694855,,
,0.001,0.1,3172,,,,
61,,,3223,,,0.965798020362854,0.15025204420089722
61,,,3223,0.9978629350662231,0.02042955532670021,,
,0.001,0.1,3224,,,,
62,,,3275,,,0.9666123986244202,0.14624907076358795
62,,,3275,0.9980155825614929,0.019217276945710182,,
,0.001,0.1,3276,,,,
63,,,3327,,,0.9649837017059326,0.14350925385951996
63,,,3327,0.9984735250473022,0.019083064049482346,,
,0.001,0.1,3328,,,,
64,,,3379,,,0.965798020362854,0.14604105055332184
64,,,3379,0.9990841150283813,0.0170724056661129,,
,0.001,0.1,3380,,,,
65,,,3431,,,0.9682410359382629,0.14456084370613098
65,,,3431,0.9987788200378418,0.017024673521518707,,
,0.001,0.1,3432,,,,
66,,,3483,,,0.9674267172813416,0.14445386826992035
66,,,3483,0.998626172542572,0.01807023212313652,,
,0.001,0.1,3484,,,,
67,,,3535,,,0.9698697328567505,0.14096969366073608
67,,,3535,0.9990841150283813,0.015865379944443703,,
,0.001,0.1,3536,,,,
68,,,3587,,,0.9641693830490112,0.14925573766231537
68,,,3587,0.998626172542572,0.016275936737656593,,
,0.001,0.1,3588,,,,
69,,,3639,,,0.9698697328567505,0.14333997666835785
69,,,3639,0.9990841150283813,0.01555692870169878,,
,0.001,0.1,3640,,,,
70,,,3691,,,0.9682410359382629,0.14487376809120178
70,,,3691,0.998626172542572,0.016414564102888107,,
,0.001,0.1,3692,,,,
71,,,3743,,,0.9641693830490112,0.1466783583164215
71,,,3743,0.9977102875709534,0.017356256023049355,,
,0.001,0.1,3744,,,,
72,,,3795,,,0.9682410359382629,0.14246323704719543
72,,,3795,0.9992367625236511,0.01653153821825981,,
,0.001,0.1,3796,,,,
73,,,3847,,,0.965798020362854,0.14362461864948273
73,,,3847,0.9987788200378418,0.01563260331749916,,
,0.001,0.1,3848,,,,
74,,,3899,,,0.9666123986244202,0.1426236629486084
74,,,3899,0.9987788200378418,0.015884773805737495,,
,0.001,0.1,3900,,,,
75,,,3951,,,0.9666123986244202,0.13949386775493622
75,,,3951,0.9984735250473022,0.01625506393611431,,
,0.001,0.1,3952,,,,
76,,,4003,,,0.9633550643920898,0.14553770422935486
76,,,4003,0.9990841150283813,0.017029590904712677,,
,0.001,0.1,4004,,,,
77,,,4055,,,0.9633550643920898,0.14034005999565125
77,,,4055,0.9990841150283813,0.013916658237576485,,
,0.001,0.1,4056,,,,
78,,,4107,,,0.9641693830490112,0.14236688613891602
78,,,4107,0.9989314675331116,0.014647083356976509,,
,0.001,0.1,4108,,,,
79,,,4159,,,0.9641693830490112,0.14172744750976562
